id,timestamp,tx_type,sub_type,amount,date,description,category,device,location,occasion,effects_balance,linked_tx_id,shared_flag,shared_splits,shared_notes
56d981098cad4c6ea045270d687e2189,2025-12-04T13:58:35.115695,income,regular,160912.00,2025-11-27,,,OTHER,,,True,,False,,
f31547c76c7741c0babf81885b820ff1,2025-12-04T14:03:16.775680,expense,regular,366.94,2025-11-28,,Food,UPI,,,True,,False,,
b12756b3b47a4483a7e3ef3e789af5dd,2025-12-04T14:03:41.573652,expense,regular,479.48,2025-11-29,,Food,UPI,,,True,,False,,
f240fb733c7b4042b557fba76926f438,2025-12-04T14:04:15.556547,expense,regular,319.00,2025-11-29,,Utilities,UPI,,,True,,False,,
ac81eae220694ac18023d34dd2e1bbee,2025-12-04T14:04:45.728644,expense,regular,1700.00,2025-11-30,,Personal,UPI,,,True,,False,,
b335cea1781d4fb69c34208dd92c7bc1,2025-12-04T14:08:07.338358,expense,regular,3181.00,2025-11-30,Nykaa,Shopping,UPI,,,True,,False,,
0939d56aaba34eb9a9b1ee2919ca3440,2025-12-04T14:12:46.754750,expense,regular,2500.00,2025-12-04,Mythreya,Personal,UPI,,,True,,True,"[{""name"": ""Mythreya"", ""amount"": 2500.0}]",
7343434cae1f4c96874b694220666fac,2025-12-04T14:15:30.509329,expense,regular,117.00,2025-12-03,,Transportation,UPI,,,True,,False,,
b80074b467634793b4e810263ecd95d3,2025-12-04T14:17:23.786735,expense,regular,32000.00,2025-11-27,daddy - CUB,Home,UPI,,,True,,True,"[{""name"": ""daddy"", ""amount"": 32000.0}]",
b76d7639d55e4403989b339beb20d679,2025-12-04T14:17:50.516267,expense,regular,33000.00,2025-11-28,,Home,UPI,,,True,,True,"[{""name"": ""daddy"", ""amount"": 33000.0}]",
abb2960048444932a6cad0ceda5a580c,2025-12-04T14:19:24.808076,expense,regular,209.00,2025-11-27,,Transportation,UPI,,,True,,False,,
2cb612fdd82f438899357bf759372c6a,2025-12-04T14:20:32.226393,expense,regular,60.00,2025-11-27,Auto - Madiwala to Home,Transportation,UPI,,,True,,False,,
9ef6adc5f65f4499bc7b5b25676c72e0,2025-12-04T14:23:59.519856,expense,regular,88.00,2025-12-03,HungerBox,Food,UPI,,,True,,False,,
72f4ed16e55b4352bba08562f3215959,2025-12-04T14:24:25.795973,expense,regular,134.00,2025-12-03,Uber- Home to Office,Transportation,UPI,,,True,,False,,
d88d774a2249430985d3670be5a6bdb7,2025-12-04T14:24:50.869144,expense,regular,202.00,2025-12-02,Auto- Office to Home,Transportation,UPI,,,True,,False,,
f4026e6562b84341b7e0e0be3671b880,2025-12-04T14:25:08.725274,expense,regular,93.45,2025-12-02,HungerBox,Food,UPI,,,True,,False,,
6280e7cf6e0d401eb65e19b4b5429e42,2025-12-04T14:25:33.052066,expense,regular,141.00,2025-12-02,Uber- Office to Home,Transportation,UPI,,,True,,False,,
5daac6290b0e40f3afb5553967266270,2025-12-04T14:25:59.335172,expense,regular,50.00,2025-12-01,Water,Utilities,UPI,,,True,,False,,
5f70de8c6a504020a256f4e9178ea0a2,2025-12-04T14:26:42.859177,expense,regular,143.00,2025-11-30,Uber- Sanya's to Home,Transportation,UPI,,,True,,False,,
caa463853a2d4082b847c0129ace2acb,2025-12-04T14:27:15.030145,expense,regular,490.00,2025-11-30,Doormats,Shopping,UPI,,,True,,False,,
e6d0ba8194e04bebb79d8814de2e8aa9,2025-12-04T14:27:31.517575,expense,regular,564.00,2025-11-30,Sanya,Food,UPI,,,True,,False,,
5ea5a65e19914eb987bb9f4abe199b20,2025-12-04T14:28:07.315549,expense,regular,349.35,2025-11-30,BigBasket- Sanya,Utilities,UPI,,,True,,False,,
3e1c4f52d5ec43408032d99b3c7b5203,2025-12-04T14:28:40.318936,expense,regular,5000.00,2025-11-30,Sahithi,Personal,UPI,,,True,,False,,
8e3ce23c8947471e8e568af9f400d1f0,2025-12-04T14:29:51.265028,expense,regular,182.00,2025-11-30,DTM to Sanya's,Transportation,UPI,,,True,,False,,
b8df00319d88424592c18c0b725dcad1,2025-12-04T14:30:35.985210,expense,regular,88.00,2025-11-29,Home to Sanya's,Transportation,UPI,,,True,,False,,
deb6ae2fc5fd42c49254d8f13aa44ba8,2025-12-04T14:34:46.004984,expense,regular,550.00,2025-11-29,DTDC,Petrol,UPI,,,True,,True,"[{""name"": ""Shashwat"", ""amount"": 550.0}]",
29b1d7bd59ae4f01a08ea277dcbedc3e,2025-12-04T14:36:51.070817,expense,regular,232.00,2025-11-28,HungerBox,Food,UPI,,,True,,False,,
b10ea2e45554434786897dd50462b903,2025-12-04T14:37:33.221163,expense,regular,13.23,2025-11-28,HungerBox,Food,UPI,,,True,,False,,
3852d952e59542afb1cea543c2dfd9d0,2025-12-04T14:38:05.400045,expense,regular,55.13,2025-11-28,HungerBox,Food,UPI,,,True,,False,,
6c86ee205ea1470d8d2c4ba02df7269d,2025-12-04T14:38:58.574813,expense,regular,241.00,2025-11-28,Auto- Home to Office,Transportation,UPI,,,True,,False,,
ffe40f750eeb4983b53c410605a4fadb,2025-12-04T14:39:32.401993,expense,regular,380.90,2025-11-28,Airtel,Subscription/Recharge,UPI,,,True,,False,,
22bfc24fb91c4e8186eff4bda1bba45c,2025-12-04T14:43:05.270241,expense,regular,2852.84,2025-11-27,Kazan-Thanksgiving,Personal,UPI,,,True,,False,,
34f5c0a2aa8b465eb96530e059ed6d39,2025-12-04T14:51:14.420362,income,regular,550.00,2025-12-04,Shashwat Paidback,,OTHER,,,True,,True,"[{""name"": ""Shashwat"", ""amount"": 550.0}]",
045ee7f339f14312a76a951b20b379c4,2025-12-04T14:59:24.214894,expense,regular,20491.00,2025-11-27,Bandhan bank EMI,House EMI,UPI,,,True,,False,,
8286c0595a434c4bb502a73d95f32f73,2025-12-04T15:00:23.424778,expense,regular,3015.39,2025-11-27,EMI Bounce,House EMI,UPI,,,True,,False,,
dca97aade8304f908ffee14b3ad3700f,2025-12-04T15:01:37.689922,expense,regular,885.00,2025-11-29,Yes Bank,House EMI,UPI,,,True,,False,,
2491dd6911ee4fd784d34e085c9232bf,2025-12-04T15:03:17.788020,expense,regular,90.83,2025-12-04,Misc,Personal,UPI,,,True,,False,,
add4d1294acb4d75aa54ecbd9ba31d54,2025-12-04T15:08:23.687196,expense,credit_card_expense,30000.00,2025-12-04,ICICI,Others,CREDIT_CARD,,,False,fdb4af6a5b154e1e80a398f6110bfc18,False,,
ce73d6492abb4db69038ccae796cc371,2025-12-04T15:08:23.688444,income,credit_card_debt,30000.00,2025-12-04,Debt for: ICICI,Debt,CREDIT_CARD,,,False,fdb4af6a5b154e1e80a398f6110bfc18,False,,
324d23314cec4d85bb559b09955e54b9,2025-12-04T15:08:51.139740,expense,credit_card_expense,34592.00,2025-12-04,SBI Credit card,Others,CREDIT_CARD,,,False,d56beeae03174381b6db3d6fa293bfc0,False,,
4f4502adbe864e0fb257532f3a32f40f,2025-12-04T15:08:51.139818,income,credit_card_debt,34592.00,2025-12-04,Debt for: SBI Credit card,Debt,CREDIT_CARD,,,False,d56beeae03174381b6db3d6fa293bfc0,False,,
647a10cc874647e19dc30e6db0dd218b,2025-12-04T15:11:31.015533,income,regular,26526.00,2025-12-04,SBI Balance,,OTHER,,,True,,False,,
e10ae14eb16041eda7c064cecc0665c6,2025-12-08T11:22:27.132171,expense,regular,23952.00,2025-12-04,SMFG  EMI,House EMI,UPI,,,True,,False,,
b09b2332a41546ca879ad309b1c2899d,2025-12-08T11:28:30.951673,expense,regular,12048.00,2025-12-05,ICICI EMI,House EMI,UPI,,,True,,False,,
af40d5ed0f754ff7a3f602fca508cc30,2025-12-08T11:29:15.580529,expense,regular,2804.00,2025-12-05,Amazon pay later | Steamer,Food,UPI,,,True,,0,,
7528da0e53ba445d892eefbb16956154,2025-12-08T11:30:04.454985,expense,regular,7693.00,2025-12-06,SBI Credit  Card,Credit Card Bill,UPI,,,True,,False,,
